Skořice,-799379.4678585269,-1081458.7507021464
Kařízek,-791431.2708886713,-1066960.8780070543
Drahoňův Újezd,-797727.8870032951,-1059772.5634250343
Smědčice,-811940.4425079972,-1065496.328320112
Chlum,-797432.9082725048,-1052597.97420948
Čilá,-791609.1596706845,-1052072.0153726675
Hradiště,-796260.3468977697,-1049713.0397819579
Zvíkovec,-796260.3468977697,-1049713.0397819579
Bezděkov,-805526.9934896231,-1063627.8030303642
Chomle,-800668.421039354,-1059114.705213502
Kamenný Újezd,-806541.7760143131,-1074199.5755106173
Svojkovice,-802604.7978353687,-1071051.004733026
Nevid,-806598.7968793064,-1080496.9596171193
Sirá,-795691.8415203989,-1064199.4451603778
Těškov,-798844.4513275847,-1067198.3361018747
Týček,-790612.8148882762,-1060607.980206523
Újezd u Svatého Kříže,-806524.1958454996,-1061585.3686163872
Litohlavy,-808730.5947794504,-1069359.5591970123
Rokycany,-807957.1457574405,-1072673.0208694972
Břasy,-806577.313362956,-1062022.6755556911
Březina,-805526.9934896231,-1063627.8030303642
Bujesily,-806455.1244230717,-1054705.6067334972
Bušovice,-810671.724813059,-1064866.5809163786
Cekov,-792367.6513610817,-1065561.7857452817
Dobřív,-800919.4929165505,-1076645.4681194983
Ejpovice,-812706.9060868174,-1071430.4012778588
Hlohovice,-801208.0743343644,-1056831.4548793621
Holoubkov,-799474.9618337564,-1069946.348473817
Hrádek,-804343.0163119994,-1075842.4346463382
Hůrky,-801417.1128879488,-1075299.707986828
Cheznovice,-792878.2557736263,-1070567.3589658402
Kařez,-792367.6513610817,-1065561.7857452817
Klabava,-811585.5932397507,-1071639.1609585397
Kladruby,-802305.6272798702,-1054111.5101833493
Lhotka u Radnic,-806455.1244230717,-1054705.6067334972
Liblín,-806455.1244230717,-1054705.6067334972
Líšná,-789803.1946361996,-1058970.1683735028
Mirošov,-803298.7296627313,-1079138.5489224494
Mlečice,-797432.9082725048,-1052597.97420948
Mýto,-795807.2203385681,-1069629.92411986
Osek,-806554.382571321,-1067967.6615767628
Podmokly,-796260.3468977697,-1049713.0397819579
Přívětice,-804733.4228359126,-1062280.2676804513
Radnice,-804084.3509543873,-1060182.5649177358
Sebečice,-797727.8870032951,-1059772.5634250343
Strašice,-795035.8528225198,-1077024.0027252883
Těně,-791197.3667208031,-1075480.8803794123
Vejvanov,-800668.421039354,-1059114.705213502
Veselá,-806598.7968793064,-1080496.9596171193
Volduchy,-804397.9413519539,-1069234.7603420243
Zbiroh,-793550.4301011749,-1059123.763256874
Všenice,-808303.966734048,-1064248.6849998757
Terešov,-796788.5068572834,-1057105.7081321739
Kamenec,-805099.7381984666,-1057992.788520161
Němčovice,-806795.936098963,-1057402.6143514551
Skomelno,-803956.9851415493,-1061233.3925947025
Plískov,-794524.0061420761,-1062136.773339659
Raková,-811146.0987983383,-1075873.3027510382
Ostrovec-Lhotka,-791609.1596706845,-1052072.0153726675
Lhota pod Radčem,-797370.8649012744,-1064460.6268351749
Medový Újezd,-797314.1580084004,-1071715.85903975
Kakejcov,-806220.5434165187,-1081679.2349191494
Kornatice,-808050.7529313415,-1081601.466049809
Mešno,-806520.2105997838,-1082398.5459269881
Příkosice,-803944.1344616115,-1081868.0521313064
Trokavec,-801154.331492003,-1083513.5386444293
Vísky,-802134.9699848294,-1083575.154189352
Štítov,-801949.8823703453,-1081720.373125352
